Time,Average Speed,avespeed1_10,avespeed11_20,avespeed1_5,avespeed6_15,avespeed16_20,F(λ_1),F(λ_2),F(λ_3),F(λ_4),F(λ_5),F(λ_6),F(λ_7),F(λ_8),F(λ_9),F(λ_10),F(λ_11),F(λ_12),F(λ_13),F(λ_14),F(λ_15),F(λ_16),F(λ_17),F(λ_18),F(λ_19),F(λ_20)
0.0,76.46,80.0,73.43,80.0,80.0,70.8,171.48174767315103,20.226391681286863,27.451620465008965,-19.282613183612533,-106.19374734846417,18.934305509029542,39.99577803511053,22.378610995884635,11.971736347181327,-40.557358806645404,-54.30803129114152,-3.2263327193388633,-57.30444513178995,40.528912590807664,84.76932810830255,0.7997952795114998,-54.44271437733779,31.378238791540806,-21.778710012532933,3.6917311689188512
1.0,75.77,76.0,75.57,78.5,76.4,72.25,169.99392208732243,-47.45161620585303,-59.235582057444184,-50.53473967233006,-38.41774096750001,68.92903963488497,-70.78484978863062,12.831203654157829,-60.2805717918295,-41.402977211978886,-2.888582196665727,28.914533420091217,-20.189740984396398,-50.50272179612983,-29.51475937422864,53.23188945571039,-28.47284203601087,-4.999496912140842,-23.5213488737374,38.539865274369376
2.0,74.1,79.0,72.88,78.0,75.14,68.5,132.8007404046404,4.785786578167842,-13.599184721076599,-53.331145243499535,23.69669563128751,4.386595900581032,-44.06930949766564,14.89332814690346,-29.62929098287645,59.924217650041115,-68.13635338307411,-24.355200771383053,-42.7311795650522,102.28609448084806,59.46265606560453,-14.118263995768809,-27.200289610654245,15.861683590006125,-32.90613369368797,6.315106702662273
3.0,76.56,79.5,74.2,78.0,77.2,73.5,161.02760705526487,-15.027666161868272,16.426851927657694,-6.635931491937061,58.4846845734154,-52.84941134128778,-31.032840736406563,30.113192699737326,3.68048300230201,-81.26240643063525,-101.06920456989798,24.262959323796295,-27.553816697184487,-28.042442504693053,-5.901609453377972,69.42809808830435,-34.09465377861472,-27.708954222991807,-23.15719057767528,22.00167232970524
4.0,74.73,72.83,77.0,78.0,71.17,79.67,172.4311994360537,-20.390786043562386,-42.4203283821215,-43.01653033132124,-23.88993919044507,-104.86299166345458,-28.55481259704553,8.11026080281994,7.692688549133617,-58.726633064388395,69.11823205327387,1.4122481637327233,-15.235226477675884,7.437604792318604,63.14036101198097,-31.07335475902984,14.589846825167541,-13.479175433552506,-44.69006914075821,35.24059058145792
5.0,74.18,75.6,73.0,79.0,73.75,73.5,188.88193796199485,20.416033793365482,22.673891881506666,-5.517713695566432,-47.54727947678653,-73.42028077779528,41.14077962357898,-22.517299915394673,-31.328733464169712,15.56982950239701,-66.7749516448048,-64.65140944932047,-22.851876902547858,51.603343065030295,39.549465515742796,42.47770079372411,-15.082353951653616,-59.57577135480311,42.24299937361619,16.820137559073324
6.0,74.71,74.71,74.71,79.67,69.6,76.5,184.35686156555323,-24.34801504573161,-25.206226206542354,6.389892478456252,-68.80123513527866,-8.261886371638525,14.838487772471233,66.11768967644437,-63.05095567341296,-97.69418278799436,-35.18274106152464,32.08090896304632,-31.586596194644983,-35.204573055510465,15.518741256269486,-12.612246030266615,-59.82871496260239,46.996733638485324,-12.475386777907634,21.669656797776167
7.0,72.92,76.6,70.29,82.0,70.29,73.0,198.5643329913147,0.16910800514584245,-37.10890808034114,-9.159350903319144,-56.05263020569042,18.681322937322157,-34.77944566790897,-28.98774234061791,3.9222797846168955,22.526697204665986,29.30319931750163,-68.87701205423295,-4.0889154902552125,41.295554270849834,105.0098341957091,35.43758759226551,7.432483572079123,7.359150574612203,-68.5896444236322,38.987168020672996
8.0,76.18,79.2,73.67,79.33,74.83,75.5,178.81547846734068,-42.98012855607247,-38.4921786634764,-55.41501070726841,-33.89187136389532,-24.79899874040652,-54.64206062151074,-26.388123677544126,-12.694719904736388,-46.36379011501448,-29.394114970125518,7.143044004167002,-32.213012750469005,8.747702377000905,-104.00596503151765,23.498361623418177,-2.9996247817703114,-86.72218441222498,-30.411782239057523,3.0830263224906886
9.0,76.07,80.33,72.88,80.0,76.38,73.5,222.85934333871867,2.6554288103136834,31.22815404079158,11.356623677918757,-27.47465134990873,-7.7671006070989215,0.9758029922861056,26.473386910919398,-59.02063664423842,-25.110499540322593,20.14415019890688,-26.52985520165024,-46.30999429657125,26.531749466343154,148.26585385029964,3.6007943043552437,-24.104350815090164,12.51009592182811,-25.47716170435332,-9.435855900229209
