Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,,
59,69.8,150.7249785,19.80793618,12.03033065,9.808380466,17.30197082,19.00615495,6.333544795,41.46893006,17.99618688,72.25145895,68.54014854,4.074904429,43.06427078,14.00445732,71.37657387,28.76674026,56.36432356,12.70531758,26.26940499,35.30696557,0.618332387,
60,64.65,207.3918234,2.910955351,15.01152607,4.232017597,7.581735815,8.448429175,35.66911642,36.22226304,1.430504285,45.82990779,72.67287142,10.79328208,45.86833324,12.62201044,50.82416093,9.035044447,5.050423836,22.76301787,1.90220572,44.0478209,0.828977417,
61,63.2,135.3147628,6.689053719,12.41256448,8.238658027,20.29726019,22.65847503,7.678244541,17.95983646,28.89133615,3.571197288,72.27423373,13.17980619,90.14932894,20.12127989,25.77563976,54.63493938,49.29742139,31.66975228,6.00949034,4.375203018,0.748310192,
62,63.65,192.7092165,38.6247291,1.092416852,11.23870477,18.9975987,3.842621121,10.56457944,12.25814122,21.79930925,80.00632998,17.91781289,34.88899955,62.76415021,7.440640575,18.24233041,16.75838562,44.26443624,3.020228612,22.24243775,17.89442724,0.694594323,
63,64.64,153.3042171,12.16621134,1.692101643,1.914919622,17.34797107,7.802209489,30.28494396,26.98732528,35.24735832,8.336796808,63.29929764,56.61713434,39.02259779,31.96742407,8.817122169,27.5703063,58.71043758,2.212773149,81.97393648,10.61554272,0.663174546,
64,67.58,229.2889179,58.29871866,25.28207972,25.96559082,2.160643091,31.92399699,2.665290229,9.716154672,3.932574635,47.67175827,22.9517186,59.61635552,17.62471023,20.61407089,1.865199197,21.43893307,54.0894131,17.1947148,4.5404723,44.37983644,0.708288019,
65,65.64,161.4049182,2.607816973,11.78806432,7.508457331,3.159397169,31.11689478,34.37769181,43.63463154,11.36874116,20.40047848,16.58429225,57.76279262,58.66763774,50.17959487,56.76031716,3.857400744,52.38668344,20.71507312,16.80504392,39.35574773,0.528960427,
66,65.33,251.1927658,34.13154589,8.499464564,15.01589636,8.603696811,25.05633754,22.05205718,59.55601673,22.67816191,20.16550632,23.24913765,13.68864729,63.47646857,15.62171948,29.82374056,0.24420941,0.441656296,2.231827691,13.46857919,43.80885446,0.939875949,
67,69.3,158.9851036,38.33713281,20.32509608,40.33901615,28.41695082,11.54550399,52.41349775,20.6810176,33.4785772,5.822151144,35.27412012,74.18844164,51.72243585,24.92027155,53.08877053,13.25216202,34.66383995,12.34843615,14.04069311,27.7593038,0.56476419,
68,68.95,263.8826008,51.7519736,20.29296006,14.30498361,25.28765379,11.03546885,41.34433,51.99879582,16.50006045,5.98419142,32.77657518,21.26765265,5.284160711,43.97804822,8.708886269,44.04954729,12.21841035,10.98037033,44.04812372,9.317771349,0.664571064,
69,70.64,172.6788973,37.21195906,7.675685292,0.071705613,13.4920521,6.845886003,32.85562073,25.60564858,72.03401464,56.69630304,27.96599299,14.57168097,20.14020411,36.53352889,25.81211031,45.13158629,20.95062759,58.00274509,15.1405854,75.86545757,0.56234824,
70,69.5,295.0946694,69.38799055,4.234325979,26.52120888,10.3734322,0.126659458,2.483699929,18.77709179,4.972917701,2.269742727,13.22523684,2.641092555,20.05190153,5.779982352,18.33253241,12.24779919,24.76709942,15.55284429,25.05440511,7.169531357,0.507662101,
71,68.8,157.8380249,29.07640626,7.175838054,26.07259242,12.93034242,3.168375853,32.11261897,21.60018987,55.70788201,33.7054802,17.05621153,41.3647887,10.35667368,9.305932384,8.876307026,97.21829713,46.50105823,6.326157553,48.00594534,21.56507898,0.881242614,
72,69.96,296.8464969,23.52209258,24.57867646,11.6938845,6.655442481,2.724787646,22.75207377,17.37836378,27.70393412,24.79156282,36.58678034,28.86842368,28.76648237,13.28507418,12.52249134,6.871086674,5.570579328,18.27254859,18.10080324,16.4296591,0.514839124,
73,69.67,138.2665372,13.17157428,26.4597285,13.7312388,28.50471954,15.38711782,67.21903966,36.09078815,20.80754105,5.802364358,70.482077,15.77255869,41.39029646,26.95741301,62.6147251,28.93453411,5.709753471,58.22937118,40.69140533,13.00554649,0.578450687,
74,68.4,248.7009816,4.18615783,27.01035335,33.33366967,17.54628163,12.53325088,21.38188855,1.966310975,7.88099572,23.88317992,39.72986091,29.6820542,18.71606866,21.18947196,29.90809175,68.56003329,24.5854764,43.59054689,29.93163293,1.362168345,0.546107076,
75,73.11,145.5800079,31.47005417,48.64047851,45.05967667,25.29619049,21.52720027,9.481411343,9.871692623,36.28218429,29.86063734,19.3559428,69.4866511,0.373712234,10.24020741,0.809768094,94.2142382,40.93608491,8.921229613,47.56220027,17.56602837,0.965860434,
76,71.78,301.2610614,24.23336334,1.442400463,24.41361422,33.57024076,16.30811955,1.288823274,17.72108902,18.22647811,6.885604788,24.85719507,24.64492182,32.81378056,9.616181654,6.380795577,23.90884294,11.61713512,0.048306248,25.63335742,20.69632827,0.549133838,
77,72.2,160.1282262,33.71724746,1.832325146,24.04835214,20.983481,1.475596546,23.72276599,12.03009546,33.45686172,36.74989081,13.61599244,5.183549015,63.44075615,2.963561912,8.603492791,55.58848134,71.92188435,31.98733466,61.41053435,69.73842706,0.710437806,
78,71.1,300.0467884,43.92580129,25.0461269,15.51970349,6.238978014,16.57701027,8.032621737,20.66896872,26.92974593,17.80777373,15.95660732,20.1149104,35.4342507,1.827257802,14.23585699,10.49127086,24.2039505,26.36692112,3.20420543,16.44118782,0.582497703,
79,72.33,195.6387527,43.93053689,3.128819674,26.81049705,10.87298032,2.90718486,15.47828761,18.03302797,69.58782924,30.84019675,50.93401163,69.22379768,23.4837212,44.86257035,33.04186718,33.7829883,6.770283698,14.20280811,30.41485523,61.65996416,0.51418907,
80,74.95,294.5408108,29.59220654,6.275983426,27.9266238,10.36690131,26.6747272,22.69087142,0.392159916,38.23854543,50.80038922,17.38760478,14.4415029,56.78119777,9.843501555,14.51989761,12.32729988,7.255277807,40.57329235,20.87794188,4.052738191,0.785927108,
81,74,169.7676431,23.15545594,24.3541891,12.86187495,6.528608712,29.54402883,27.64529228,22.91901175,3.981656739,44.27052584,35.13171173,29.46372942,125.7087622,27.22535903,29.96424835,0.223241553,45.31524931,19.06650963,6.695093817,3.670651742,1.057163586,
