Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,
31,68.25,247.5471495,3.329378171,48.53875109,36.7741526,28.25182653,42.22847498,52.85545184,18.45450384,5.103562905,2.028630462,15.82541845,58.53758296,12.55272324,8.779535094,14.89274249,4.853474999,18.24489938,45.04457891,0.550173943,2.974831851,0.982489628
32,71.42,185.9253882,11.92127716,61.64087068,12.43134282,43.10722648,19.09399437,13.83123716,31.37389188,46.94171464,45.27472607,34.87233157,23.83898322,21.71177107,79.71929576,22.66018472,22.24720317,33.90230076,54.53179835,20.18073173,42.50910508,0.507764979
33,70.38,296.2580521,7.268422474,59.27570188,0.509930666,10.8729944,15.48450264,9.369911723,22.47428328,21.9616314,17.5683362,0.474258431,1.316773348,24.38915245,4.882972008,14.70519021,12.57713383,22.82561594,23.24671766,2.533806451,16.81454289,0.72889099
34,71.1,157.9406247,40.70538833,56.77393603,17.24813754,14.61627788,1.000840259,17.77984934,7.768777488,2.531752193,33.19083789,17.54208524,83.12942294,29.22387139,65.02006041,33.0705342,33.61819865,59.19760748,29.66882082,2.243766564,27.63248786,0.600151443
35,69.83,277.4459619,40.4498132,23.17476154,7.791642558,2.147944778,31.04462667,24.23020502,4.826810435,41.76752621,42.80332958,13.52643522,0.402223526,41.62163262,11.3588301,12.51478925,5.221312319,10.68678318,42.42234035,16.08644914,3.508430321,0.884609589
36,67.44,139.2553505,15.38346449,2.907262881,40.6701765,39.94019609,74.40903993,14.75246643,16.23867238,35.4987728,28.44514109,21.31228271,11.87107823,7.453043706,40.38261307,32.06671816,26.72494747,68.42325022,35.48745209,31.03547893,4.358898944,0.636547326
37,68.96,291.8943778,50.636522,3.234547687,12.35738055,28.34707521,17.31403065,19.68610257,1.342735501,3.290497962,19.40238694,10.39179454,13.67725745,15.49046619,16.29288704,22.30099368,13.40885973,18.47537828,5.152969544,6.096339419,11.8671992,0.37587032
38,69.67,191.7915535,30.00282069,6.662362034,15.06850703,15.40844964,9.535768675,1.817812789,6.929856766,9.714488252,2.762117096,1.384249635,16.21197387,87.63514335,74.28271485,38.54221391,55.10825203,35.46628709,5.716326435,27.42850008,25.23573073,0.730861193
39,71.09,296.1467209,43.97417666,7.076183315,23.77270393,27.91738482,5.815246762,8.236261715,16.74848862,16.50572077,18.02967956,26.80951855,2.037474657,6.111605512,19.55459102,1.545472789,12.82089477,29.80198973,10.32220359,3.040234128,13.44527654,0.764079038
40,70.58,190.2834678,33.65055831,13.96079587,8.355929348,12.75195132,8.183709775,0.500619351,0.971575657,0.463812496,16.18526006,18.59494991,3.933083978,65.05104435,98.75687989,13.10832626,30.55792436,5.529057886,24.61205719,61.55412915,50.79870163,0.786444196
41,65.64,244.3102938,3.396983805,2.315286266,48.46104961,14.1636947,32.91582541,10.23167453,0.170544422,7.190304886,38.43212925,4.295573125,4.375635522,2.097114471,49.25680514,51.03280877,21.39656468,52.43993814,14.58405385,6.283102348,4.011398658,0.970904569
42,60.75,107.6659708,16.76026968,7.479503573,9.402115311,2.164349352,24.39135728,24.17087428,27.3308122,3.317780485,4.220429148,82.7169451,4.771665763,19.40966965,59.40347824,29.35420283,19.47440249,38.81004944,19.28689222,30.78075808,43.88839682,0.620498181
43,67.53,257.470489,38.84408183,1.151810227,13.1706322,3.590897161,4.165276415,2.179709317,4.679767063,15.03541255,6.626025131,26.47637404,26.92823503,17.55884212,48.19592181,66.15988513,42.52332977,20.19656831,4.004202239,25.84701569,19.86891709,0.568294404
44,66.82,163.7825739,83.23559931,58.91956605,1.275069031,11.96665123,9.161425771,49.44303028,73.19934374,42.4654279,18.65141877,1.587163558,16.2448298,24.77091176,12.86989959,31.16960361,19.55157123,0.474352901,25.33248983,0.490225364,23.87949643,0.690758971
45,66.21,245.1098722,22.87311172,16.23936469,11.30079533,52.46322728,27.63667197,19.24538309,42.81009462,29.14237921,5.136832552,22.89234174,57.54057427,14.29109258,15.61494288,30.97097889,14.90877548,1.083628902,10.46765011,24.20144449,20.16552714,0.677792408
46,68.27,167.5204199,19.10087075,6.550023529,20.58419191,16.23768445,42.06006362,38.16921967,2.852754093,0.972486708,8.144068647,9.857097729,47.85714323,54.58301753,28.12804758,32.05484105,42.99625559,38.47075731,63.10933437,63.95333032,25.18879652,0.406146386
47,66.71,250.6158498,9.988188079,24.28214988,21.46494654,22.44050596,1.990476008,32.68972232,16.14000352,15.74183475,8.398380413,41.03347198,11.80997206,50.57012494,57.30349997,8.118044824,34.22131959,28.99800648,1.159729772,25.77213651,13.1486665,0.654750227
48,64.3,142.7435207,6.222812661,52.26545076,8.282831349,31.55951765,29.55425774,0.825634393,37.21260851,10.62602729,23.96660853,4.544561374,17.6030847,64.25091812,90.9782482,16.67022886,18.28731168,23.65226658,5.29480277,39.60243576,0.411897261,0.979479969
49,64.32,240.2527803,2.738864276,26.03900337,22.79031952,16.15041103,10.31917389,36.73741466,7.491351659,13.35766173,22.56717205,30.39459721,4.107907809,33.4857171,63.60873174,14.3241102,38.36695141,42.68996951,14.18479057,30.75602255,18.38586686,0.56235632
50,60,120.7263636,43.85787268,6.837058663,3.018594098,40.42169733,13.56416013,23.55591381,8.114520402,7.438612757,21.49302618,5.286600215,23.2454288,55.67139882,71.89839254,16.11988163,51.5840135,23.90396987,35.24748797,8.761790055,1.889013446,0.763962935
51,65.95,232.2347583,33.77456267,5.106725706,6.602807134,72.22310705,0.743748483,11.98278529,4.969371126,27.14970621,17.83224674,29.55424563,18.44539626,44.95197566,26.12545859,33.4075509,23.75491768,20.5062094,27.21509233,50.56545144,32.43787023,0.316654108
52,59,135.355283,36.0313697,29.64497896,41.05833457,13.44199489,16.60728036,2.409007207,6.380307098,44.42666573,35.72990705,26.53041895,33.86039933,14.26275236,50.29129404,2.488213531,49.59190647,21.06073581,1.162202617,61.12175052,19.27092165,0.69533423
53,61.81,264.71199,11.863089,2.042646795,18.9214904,21.53009848,9.559552478,16.73893875,7.650514822,17.72185736,6.363090968,3.95566603,9.107664231,14.52566233,17.33577467,23.73975703,14.8708454,27.56087439,41.36401682,30.98819873,18.8610024,0.515704992
54,61.79,189.238989,17.91851048,11.89305754,27.64486535,24.35720194,31.8118533,30.61886258,40.86387942,43.26026306,2.658347407,10.78884416,17.15962222,73.52460745,25.75134657,46.13867748,0.535684925,11.4644254,24.44991606,65.695846,6.752858743,0.8482436
55,59,245.1368857,52.8005698,0.341089416,35.52376442,5.708903102,24.29916565,1.29702426,28.12922402,9.37820168,15.76524969,15.6845863,2.053448112,37.51732956,0.935835461,18.06175753,16.4439013,5.757417415,20.22449115,1.906627424,22.14479234,0.781955349
