Time,Average Speed,avespeed1_10,avespeed11_20,avespeed1_5,avespeed6_15,avespeed16_20,F(λ_1),F(λ_2),F(λ_3)
81.0,66.63,76.12,59.73,78.0,67.38,59.29,211.57581352508146,-21.1065437749579,-37.39550425152778
82.0,68.31,77.0,59.62,77.8,67.71,57.5,191.22780486023245,-26.32628839859344,-30.749319740741136
83.0,69.13,77.36,61.58,78.6,70.0,59.5,243.15925910193283,-12.676131080074759,-17.878353299871435
84.0,68.67,74.5,62.0,79.5,68.29,58.5,174.9671205510744,0.22316417200425676,-57.52008969692374
85.0,69.32,75.31,62.83,79.8,69.79,59.5,273.2127202389768,8.191811932884553,-12.9370743210893
86.0,67.0,71.88,62.67,79.67,66.67,60.0,218.3545270482617,19.181321007811945,-22.707410261195804
87.0,66.32,75.0,60.0,78.0,64.0,61.6,220.1898529192261,-1.1460567670206991,-51.600751646918305
88.0,66.7,74.0,59.4,79.0,66.43,61.5,225.42705328115957,-25.736318710502704,-11.459637668878944
89.0,67.55,76.33,60.36,78.33,64.12,61.33,223.29511736358543,-24.86314945673472,-69.40098829710519
90.0,66.47,76.43,59.5,78.75,63.44,61.0,204.9303299325028,-22.845632764981005,-56.19886850431973
91.0,67.21,76.22,59.1,78.0,66.33,61.33,221.1910142416616,-24.456823354910547,-74.01267823845996
92.0,65.72,73.57,60.73,78.33,65.2,59.2,204.01266699702,-12.96573429869669,1.3092230703335925
93.0,66.27,74.45,58.09,79.75,65.15,58.4,248.62587519773706,-32.49669665442204,3.837019460064118
94.0,65.72,72.78,58.67,78.25,65.22,56.6,216.60269956425034,-16.926169638218553,-35.28343909935357
95.0,64.29,72.78,57.92,79.0,64.0,57.5,240.62415730791983,15.013979374687294,-22.65559331750129
96.0,65.85,71.6,60.1,76.0,66.73,55.8,244.8880291430693,-3.3231308161752313,-16.70967161053376
97.0,66.3,73.11,60.73,76.75,66.45,57.6,284.31970257315453,-21.01919651409648,-35.41981345306913
98.0,65.74,75.86,59.83,77.75,65.0,57.6,255.87215157320483,-34.856919505272145,-61.157039510960296
99.0,68.7,75.6,61.8,78.4,68.8,58.8,251.52675936698625,-45.065357956017586,-24.5370007480573
100.0,68.39,74.17,62.09,79.2,68.62,57.0,293.7420517360604,-45.60923658433879,8.665711242451588
101.0,67.44,75.62,60.9,79.0,70.33,57.33,245.86135766985348,-20.631990115113297,-0.9026888531890656
102.0,68.47,76.86,63.58,80.0,71.2,58.17,264.1752548624096,-21.20407692872213,-25.691360443389065
103.0,69.47,77.0,64.0,80.0,71.45,58.8,297.96656205412216,-11.143999765361881,-6.317607270059447
104.0,69.81,75.86,63.31,80.5,71.69,59.43,299.2758621446058,-9.105471940789295,-5.644726748479297
105.0,71.71,78.38,65.78,79.25,72.56,62.25,272.00322260966004,-21.565085067567495,-7.923729114951199
106.0,70.4,77.11,64.91,80.4,70.33,62.17,258.39770266166636,-14.474923158111274,-53.242198815336735
107.0,71.75,78.44,66.27,80.0,72.64,63.2,268.7126793012953,-3.7422736975779554,-50.16366084014456
108.0,70.52,75.4,66.77,79.0,71.08,62.33,254.94773526906118,-43.17091888782804,-37.530468357100744
109.0,71.58,76.0,66.67,79.25,72.5,63.6,206.83762546898254,-49.743155692386225,-44.13479615457295
110.0,70.57,75.45,66.08,79.2,70.55,64.43,236.28633779136905,-7.437284520759883,-51.31337748742777
111.0,70.19,77.6,66.82,79.0,71.22,64.8,234.89353931393197,15.395698238818323,-34.283823148238646
112.0,71.75,76.82,66.0,81.6,72.22,65.33,308.2950454310735,-32.03452549960197,-33.68948143907924
113.0,71.25,76.86,66.89,82.0,69.22,63.0,222.2363124339619,-26.123123224655,-31.543316977276906
114.0,71.9,76.7,67.1,83.0,72.09,66.0,225.00560531462227,-16.28188923584625,-17.98425978409108
115.0,71.38,79.83,66.3,81.0,70.38,63.75,223.20964096074664,-17.04885548050641,-20.938825561368702
116.0,71.15,78.12,66.5,80.0,71.4,64.83,222.1575893997853,5.1299381209962895,-50.51628335646413
117.0,74.12,80.62,68.33,81.33,75.0,66.5,219.346137665144,-34.29695369689865,18.19852371082791
118.0,72.08,78.73,66.46,83.17,70.45,65.14,258.6346910852039,-38.18963124102818,-83.36751782444753
119.0,73.12,79.75,66.5,80.75,75.0,64.4,250.34509453332134,-30.134728741487855,-40.32289030003895
120.0,73.56,79.86,69.55,79.4,74.29,67.83,247.448985716849,-20.377358119171383,-69.92722781171683
121.0,73.0,75.75,68.88,81.4,72.4,65.8,254.2729948047711,-80.6920027836036,-34.419922729611805
122.0,73.79,80.56,67.7,81.0,73.6,65.25,269.0418974963317,-73.05690647036319,-20.000796833128973
123.0,71.83,79.29,67.09,82.0,71.22,67.67,257.6383051155446,5.769605815229822,9.378865752227323
124.0,74.25,80.12,70.33,80.67,75.45,68.83,269.4613674469859,17.54396710443497,-20.231857852644843
125.0,72.95,76.27,69.64,80.43,70.0,68.4,245.43990970331626,-36.227360465374666,-65.33622496229744
126.0,71.68,74.56,69.1,80.0,73.3,67.0,215.16576421694865,15.420668065059488,-26.17931232037487
127.0,74.09,80.45,68.25,81.43,71.27,70.0,283.5507543214806,-30.161981683496336,-48.65220560612344
128.0,72.06,79.33,67.7,81.0,73.44,66.0,208.58747493710936,-12.24688560899061,-49.366158431797274
129.0,75.9,81.08,68.12,83.0,76.0,68.5,255.80018190768817,-48.60368921796535,-17.040572579867444
130.0,72.37,76.5,69.36,82.67,71.91,67.2,243.6717781450919,12.665040736719103,-41.190917098009784
131.0,72.11,76.0,68.6,81.67,72.09,66.4,247.0621239146236,-40.60523437641636,-26.582025560843032
132.0,73.95,80.6,67.91,82.75,74.27,67.5,271.65770034040804,-57.43991719481333,-5.127873035239173
133.0,73.68,79.6,68.75,81.8,73.36,67.5,270.3675016610296,-75.32510592506024,-60.03815087592049
134.0,72.81,78.17,69.6,82.25,70.75,67.5,216.61702562257864,-57.91518085393906,-77.17980715528148
135.0,73.05,76.67,68.22,82.8,71.18,67.4,270.07962299896457,-85.34593770981726,-10.739918683650796
136.0,74.0,79.17,71.18,82.0,72.3,72.25,268.6550356941076,-10.010056428192687,-19.995638964923025
137.0,74.71,79.17,68.78,83.0,74.44,69.14,254.22967725591283,-79.37580918088017,-60.666150242792355
138.0,74.11,80.29,70.18,83.0,73.4,70.2,249.21036390641257,11.339350718422988,-11.077147626942597
139.0,73.0,78.0,68.5,80.2,70.8,69.5,263.40630661073607,-19.550260264914947,-47.52333013476854
