Time,Average Speed,Lambda Index No.1,Lambda Index No.2,Lambda Index No.3,Lambda Index No.4,Lambda Index No.5,Lambda Index No.6,Lambda Index No.7,Lambda Index No.8,Lambda Index No.9,Lambda Index No.10,Lambda Index No.11,Lambda Index No.12,Lambda Index No.13,Lambda Index No.14,Lambda Index No.15,Lambda Index No.16,Lambda Index No.17,Lambda Index No.18,Lambda Index No.19,Lambda Index No.20,F(λ) No.1,F(λ) No.2,F(λ) No.3,F(λ) No.4,F(λ) No.5,F(λ) No.6,F(λ) No.7,F(λ) No.8,F(λ) No.9,F(λ) No.10,F(λ) No.11,F(λ) No.12,F(λ) No.13,F(λ) No.14,F(λ) No.15,F(λ) No.16,F(λ) No.17,F(λ) No.18,F(λ) No.19,F(λ) No.20
(364+0j),(52.45+0j),(125.25028129289473+0j),(-43.347320539370855+0j),(7.806895081900701+0j),(-27.49565537174014+0j),(7.205323496647662+0j),(22.351173568924974+0j),(-39.78512120083041+0j),(68.073616505686+0j),(-16.1549710829044+0j),(36.71261890635347+0j),(23.453726784404658+0j),(37.463306278910565+0j),(-7.967962294628509+0j),(10.001891915416905+0j),(41.655993128289445+0j),(48.31110460579472+0j),(-24.189376987991963+0j),(-26.323834730842748+0j),(-51.168841428234565+0j),(23.783310625252383+0j)
(365+0j),(54+0j),(200.21356067726506+0j),(-120.68394940434919+0j),(-7.7034147076892205+0j),(13.597917116906856+0j),(-45.51114826764406+0j),(-34.78035500320239+0j),(11.419628382671345+0j),(-20.9940982074484+0j),(6.369949440110011+0j),(11.11613392659332+0j),(-6.159941063425884+0j),(-38.077979691922515+0j),(-22.982548820250134+0j),(13.502929568359706+0j),(3.746914254010187+0j),(-42.49569563472013+0j),(10.15345909890755+0j),(-12.801103605561762+0j),(-18.211650545302156+0j),(23.41950626590214+0j)
(366+0j),(57.33+0j),(152.46247988376155+0j),(-66.1001876814253+0j),(22.737786198597696+0j),(-48.64464985773786+0j),(-31.600500009741225+0j),(-13.442353235185816+0j),(7.026533027223863+0j),(1.4093260089286694+0j),(-45.476714991373036+0j),(-34.8367812349394+0j),(-22.034371412596858+0j),(2.941048029325497+0j),(9.390848364564434+0j),(30.054389963681714+0j),(50.551000032564545+0j),(45.00412990117563+0j),(1.6963535236057012+0j),(37.629385871742386+0j),(42.26236099298478+0j),(-34.7407589546158+0j)
(367+0j),(57.28+0j),(216.50603381384468+0j),(-107.0355011510982+0j),(29.998776780630024+0j),(16.44004209362692+0j),(28.259344787650633+0j),(16.61285734913193+0j),(7.515666177608086+0j),(-12.681637841470774+0j),(9.630910163480813+0j),(22.62999378514023+0j),(4.74544211835689+0j),(17.40133993426234+0j),(5.002305454594823+0j),(-21.134228430634515+0j),(-8.899053707374058+0j),(-19.769861443957804+0j),(5.849705251757916+0j),(11.853139420324215+0j),(13.96158974425615+0j),(-10.949536265823415+0j)
(368+0j),(40.82+0j),(101.86536119130504+0j),(-25.218283952381917+0j),(-1.2880490531211164+0j),(29.85773889549661+0j),(50.60518310591072+0j),(34.134457540082515+0j),(5.6799529358621506+0j),(-21.68698885320626+0j),(24.060155974981846+0j),(-15.700712360945241+0j),(-27.330993388660517+0j),(-3.0431619416732363+0j),(-42.954708428853095+0j),(34.73962325450023+0j),(1.9125761293624193+0j),(-12.04126417436101+0j),(47.068630395583824+0j),(38.14405260233241+0j),(-18.94854876604841+0j),(28.442775647173377+0j)
(369+0j),(57.53+0j),(171.83320399005527+0j),(-87.84063934017827+0j),(40.001123652437286+0j),(30.99839871377629+0j),(-15.31131629113105+0j),(-28.448668673636668+0j),(-52.81949372291071+0j),(32.879850296336+0j),(-57.13872735584556+0j),(-27.84398692081495+0j),(-25.582112507203412+0j),(-30.024097243194085+0j),(11.501608451121866+0j),(-28.405998279725704+0j),(6.468895522788802+0j),(-10.351740312175234+0j),(16.74954615877062+0j),(-4.227063096683994+0j),(-5.192806793332714+0j),(0.22068434932431957+0j)
(370+0j),(58.27+0j),(147.05548541102868+0j),(-75.4129747050218+0j),(20.278480390641924+0j),(12.557446109404776+0j),(40.85952450416236+0j),(43.31142882342414+0j),(53.93718026326903+0j),(-31.734135233574516+0j),(8.542755986348467+0j),(-7.826136442154954+0j),(9.525293304116099+0j),(21.854141253598364+0j),(-24.353451982528423+0j),(-18.393788840039306+0j),(-41.375680864227164+0j),(25.37888141286702+0j),(-52.04014301299566+0j),(-35.61731123420658+0j),(5.858610627578665+0j),(-23.17098912092676+0j)
(371+0j),(47.58+0j),(183.46621210471446+0j),(-53.86574137388649+0j),(63.35454342715836+0j),(21.895040867309156+0j),(-12.041722998239461+0j),(4.415261053701819+0j),(-1.4043216658096198+0j),(-8.67461800851247+0j),(3.3001528122390167+0j),(-14.73672691649381+0j),(-46.5104305952248+0j),(-60.406964375113326+0j),(-62.44729800823499+0j),(34.39605582461343+0j),(12.270209684512972+0j),(-7.499260098700008+0j),(5.028624557116666+0j),(-8.376116348611383+0j),(-25.224082323671553+0j),(20.571490351064465+0j)
(372+0j),(46+0j),(72.79675730248367+0j),(-31.250012616885684+0j),(-3.09146561752641+0j),(2.0122886856246947+0j),(-10.452687007876943+0j),(-7.696989063993368+0j),(-27.302942507191776+0j),(14.234223855042345+0j),(-32.89608511932574+0j),(-9.923153819176337+0j),(-11.413694765057256+0j),(27.8265698772962+0j),(71.81577221269713+0j),(-20.46777572154072+0j),(31.599315824441415+0j),(-0.748197331379314+0j),(17.187825152052742+0j),(28.538828461278605+0j),(44.35648266532234+0j),(-25.995947592889454+0j)
(373+0j),(50+0j),(156.9203619674628+0j),(-51.14823307758926+0j),(70.85995554349319+0j),(8.970980637908175+0j),(-16.6287290241105+0j),(-6.485179861424185+0j),(17.577925855095494+0j),(-45.11762447824468+0j),(59.23699928690442+0j),(48.45254867163854+0j),(31.552688278414145+0j),(-6.572148980783619+0j),(-16.476386999759406+0j),(29.95637949379214+0j),(21.419419321337926+0j),(7.772348682599639+0j),(7.758118687163259+0j),(1.6642362042248142+0j),(-21.50170025242054+0j),(3.2118202741878252+0j)
(374+0j),(56.6+0j),(123.86901153689402+0j),(-84.03380829256866+0j),(41.31175146084597+0j),(67.27664004137776+0j),(26.66359332367843+0j),(-19.229479732901833+0j),(-42.68666436815672+0j),(47.07512305086056+0j),(-29.43018258036114+0j),(-29.187418142723793+0j),(-33.586301389346+0j),(-31.935292193211673+0j),(-16.002464505856658+0j),(-16.71808107476652+0j),(2.276230784632014+0j),(33.5437602004005+0j),(-22.323653160300122+0j),(-1.1763933234079187+0j),(-28.052232946818638+0j),(44.94999908542262+0j)
(375+0j),(49.4+0j),(193.85711444162936+0j),(-105.31067443246589+0j),(-12.861367588210932+0j),(-8.252921012626715+0j),(-32.43299308824014+0j),(-30.230311133578606+0j),(3.2178981114370027+0j),(-6.223444137871345+0j),(-30.051889099568914+0j),(6.566093649751727+0j),(45.79902560935273+0j),(31.86628708832328+0j),(-5.726516851636905+0j),(36.27549151818219+0j),(64.05819299875846+0j),(27.733480529235745+0j),(15.232391391851479+0j),(15.238302379475172+0j),(2.1938270114462184+0j),(-2.6666930826020336+0j)
(376+0j),(44.1+0j),(101.17233863691675+0j),(-68.98281908555464+0j),(-12.638203422626935+0j),(9.112951766812406+0j),(24.934619693195746+0j),(35.129606040075366+0j),(42.1805625143721+0j),(-52.34514430224112+0j),(36.109684854957784+0j),(35.88445296000938+0j),(-13.297767326554778+0j),(-55.563617503387825+0j),(-7.371645802979364+0j),(-31.881327305787224+0j),(-34.229383459198765+0j),(3.2944958575302423+0j),(-25.567914192458897+0j),(-27.590371766262095+0j),(-7.039073058437733+0j),(12.61786536288087+0j)
(377+0j),(56.57+0j),(142.27316048506535+0j),(-92.58356239754632+0j),(25.250501364221567+0j),(20.976207425610642+0j),(-12.499410819098074+0j),(-14.939887669862541+0j),(-7.696817737542566+0j),(61.11672257874389+0j),(-77.4656707704447+0j),(-42.64078783795873+0j),(-13.905571022845479+0j),(15.839759993642105+0j),(3.478921986318193+0j),(7.135803497398436+0j),(-0.5338676711736869+0j),(-5.868445935230676+0j),(27.582590693909932+0j),(22.3069122430352+0j),(-14.673153603945478+0j),(23.435810340115893+0j)
(378+0j),(38.83+0j),(52.37875698800363+0j),(-29.283599928938962+0j),(-8.61619097659549+0j),(24.885963433025637+0j),(-5.070065262032469+0j),(-2.564453401198133+0j),(-11.591641346121982+0j),(-4.442782466031173+0j),(14.20279188468822+0j),(43.322342860531265+0j),(55.804667061597875+0j),(32.7939773728865+0j),(-10.300234731274452+0j),(24.857921223919202+0j),(1.0825547499643786+0j),(-23.344138973167887+0j),(9.253153891688136+0j),(-17.147473021573198+0j),(-40.43374306397097+0j),(28.37558133443359+0j)
(379+0j),(48.2+0j),(123.42648414336728+0j),(-91.193123426389+0j),(-15.600136058842914+0j),(-4.822749277351099+0j),(-37.046655324467984+0j),(-26.664832717178395+0j),(11.050421255785036+0j),(-17.40958110192217+0j),(-15.875119531219575+0j),(-32.78730001964872+0j),(-62.52729272102602+0j),(-52.984363658370825+0j),(-34.30491894571332+0j),(-5.222287225837394+0j),(-11.280880414268118+0j),(-24.171422844446408+0j),(-3.5985765373989356+0j),(-0.37293708231093525+0j),(18.13160365914302+0j),(-22.62586192934093+0j)
(380+0j),(33.67+0j),(69.51296736277972+0j),(-56.04809264224057+0j),(-42.4347870217234+0j),(-21.594830311555448+0j),(-5.996268057193026+0j),(7.665270491447655+0j),(-15.237946389712915+0j),(15.190113721665018+0j),(-2.4116868783239815+0j),(8.42602195302972+0j),(45.63063638941406+0j),(49.24301056553588+0j),(51.296637348820354+0j),(-32.156723331898384+0j),(-8.885469984630967+0j),(17.74918963941211+0j),(-6.468485800073704+0j),(-0.04873513863125023+0j),(15.889521026783488+0j),(-18.582674443515494+0j)
(381+0j),(52+0j),(131.55781530588877+0j),(-119.51732939680139+0j),(-44.489037858331756+0j),(-14.20353547104323+0j),(-14.922333925026615+0j),(-10.518674735559054+0j),(10.196301706519156+0j),(-16.92500681153064+0j),(11.732093619453249+0j),(-15.925382635848012+0j),(-6.811719246949011+0j),(-6.314059984619643+0j),(-14.856012323661323+0j),(25.4531787226956+0j),(21.492996385102796+0j),(-22.851095773664433+0j),(41.56391686382966+0j),(4.6886756893545005+0j),(-35.712398456163015+0j),(28.77956653187855+0j)
(382+0j),(41.1+0j),(93.21475761696301+0j),(-60.66014301402368+0j),(4.90708897892334+0j),(45.22034796831243+0j),(23.53868013980205+0j),(18.79591275004389+0j),(6.844837567061435+0j),(-17.147689309865385+0j),(2.4038765245407965+0j),(-0.8058701852444536+0j),(-16.12586174813231+0j),(19.28667137000988+0j),(43.21338621385397+0j),(-53.925580318956044+0j),(-25.97895006189814+0j),(25.581039852984716+0j),(-36.23080492753157+0j),(-17.584476611106304+0j),(-23.48855714112552+0j),(21.034277850575656+0j)
(383+0j),(44.45+0j),(105.73363983968254+0j),(-88.46841739079466+0j),(-5.204608259613746+0j),(45.02620378493626+0j),(31.52999105186648+0j),(19.484337696123585+0j),(4.929543951889698+0j),(11.795524453264159+0j),(-43.796531367993545+0j),(-36.58322763340347+0j),(-29.52549243813188+0j),(-8.584393253159437+0j),(-28.693629905730795+0j),(43.46476194169111+0j),(45.73175826959011+0j),(16.37448172090025+0j),(1.8619253141561996+0j),(6.271754625476674+0j),(-19.831615636628303+0j),(13.230186867206509+0j)
(384+0j),(39.22+0j),(80.98375405630718+0j),(-55.43947756671459+0j),(14.5925038693325+0j),(25.03676819553055+0j),(14.268826148455034+0j),(-25.73575688966748+0j),(-49.190530824134605+0j),(35.97366639068126+0j),(-23.518331623570553+0j),(10.160278295229276+0j),(34.69077564618491+0j),(15.208466362044428+0j),(4.2404821158138954+0j),(-12.043905175293894+0j),(-18.317641724708974+0j),(-14.426947480511952+0j),(2.711215356525056+0j),(15.777100747706275+0j),(41.15157924584357+0j),(-34.6417758144548+0j)
(385+0j),(33.46+0j),(98.92231816807599+0j),(-53.079802319393835+0j),(-2.7122790957801404+0j),(37.68129523196504+0j),(5.655443760040832+0j),(-15.584684117082851+0j),(10.952292232387583+0j),(-47.01179785572842+0j),(51.07615177683079+0j),(54.82537779860559+0j),(26.65607899636214+0j),(-2.8768142985471172+0j),(-21.796188719742712+0j),(29.72698059990394+0j),(14.550308027786775+0j),(1.643038664527039+0j),(-3.7419714662260377+0j),(-2.6277674942367146+0j),(-9.923420601759638+0j),(7.98541381560477+0j)
(386+0j),(43.71+0j),(64.62408660698787+0j),(-44.573140672988096+0j),(-1.4290145154186504+0j),(24.194025966816092+0j),(-6.920761272694236+0j),(-19.865148409721016+0j),(-18.16428948037567+0j),(2.5390131752128813+0j),(-2.579701646356619+0j),(-42.23956793259069+0j),(-65.9604636817561+0j),(-55.31614477226736+0j),(-2.094986255124266+0j),(-13.972012901503737+0j),(-13.29647415790694+0j),(5.121200262140645+0j),(-16.867962368299974+0j),(-32.90985573608732+0j),(-34.47747122703086+0j),(23.32925451028746+0j)
(387+0j),(37.64+0j),(86.03090020145956+0j),(-74.33747793426956+0j),(-22.955965455735605+0j),(-4.8705180087011755+0j),(9.00231460357999+0j),(-12.237796798726349+0j),(-30.453361941432355+0j),(19.793251855333125+0j),(1.289494894108465+0j),(20.9677910501941+0j),(42.838979235811564+0j),(64.73105451202551+0j),(46.548208597347674+0j),(-14.46278298493572+0j),(4.09386431132855+0j),(8.850820120007528+0j),(16.234281098682732+0j),(17.49491485291977+0j),(2.422946203002377+0j),(-3.441236008058425+0j)
(388+0j),(39.88+0j),(68.00965702374373+0j),(-54.57030178208994+0j),(-0.4385138450745316+0j),(6.451962103874722+0j),(-1.1823502691357852+0j),(-11.551138913060328+0j),(-13.270373187607373+0j),(-4.531350377687183+0j),(6.071210041417584+0j),(-6.00906024971793+0j),(-7.108422854425257+0j),(-24.90376111065425+0j),(-56.811638607703294+0j),(65.87674664497047+0j),(52.835934515115255+0j),(20.725678923435865+0j),(16.66840471254015+0j),(18.210471361727592+0j),(-10.819901133551026+0j),(18.91468997544445+0j)
(389+0j),(37.67+0j),(99.24676101033752+0j),(-78.56145138404989+0j),(-36.075242757627386+0j),(15.2575733469666+0j),(13.744177249703908+0j),(4.01566660620144+0j),(-7.467839905413811+0j),(-7.7657687717101+0j),(-13.074030704351332+0j),(6.005411318769045+0j),(-1.0162767112546254+0j),(14.782395791305072+0j),(41.87325967160559+0j),(-57.57450250728893+0j),(-54.64380948567814+0j),(-20.86435180002958+0j),(-20.810374430107846+0j),(-22.89750868866549+0j),(5.668833746423795+0j),(-11.151119204042804+0j)
(390+0j),(42.12+0j),(71.73597435697526+0j),(-54.255490881986866+0j),(-31.1680885680583+0j),(17.098012215437116+0j),(29.59041019221624+0j),(7.063937444897028+0j),(-16.525191726469284+0j),(28.710912201314763+0j),(-27.06467226141879+0j),(-6.264678739834011+0j),(2.822727122825742+0j),(-17.560297043428513+0j),(-26.786804058319323+0j),(61.224385595163994+0j),(52.29438210799052+0j),(42.91796991946478+0j),(-19.345025346054754+0j),(-0.17502490900493095+0j),(10.60171451917277+0j),(-8.559532497720589+0j)
(391+0j),(47.6+0j),(103.89353861594205+0j),(-102.40449012824234+0j),(-48.30172703713242+0j),(-7.161049502436636+0j),(-13.702907896903753+0j),(-33.758225680357505+0j),(-31.108615828817843+0j),(22.25702014633614+0j),(7.458284691080236+0j),(-0.0529974015751451+0j),(-5.566201768354748+0j),(-9.893124193247433+0j),(2.5178165410212894+0j),(-13.801246334405455+0j),(-19.502634613358424+0j),(-30.946460421330965+0j),(17.63831669890218+0j),(-12.057708844167184+0j),(-47.15028260620932+0j),(41.49245900315042+0j)
(392+0j),(39.9+0j),(86.02694416968968+0j),(-80.57501910159564+0j),(-41.320678027326494+0j),(-16.011649600081167+0j),(-5.124571896275498+0j),(-13.874485349279714+0j),(-29.44021753093959+0j),(22.048311568044404+0j),(-7.700808208897359+0j),(-22.841917908706495+0j),(-15.69446084856916+0j),(-26.595386728166677+0j),(-19.29822995025723+0j),(9.880515057647871+0j),(16.478989271201495+0j),(35.64612651724157+0j),(-28.705555548020445+0j),(11.93149521201986+0j),(45.87889018346487+0j),(-52.081327620387526+0j)
(393+0j),(43+0j),(115.00925233466609+0j),(-106.50791441623744+0j),(-48.17950809502008+0j),(1.2347639714457879+0j),(35.61114346823255+0j),(35.98965479776237+0j),(1.9355380230303707+0j),(-9.311259469298392+0j),(1.1343957246305396+0j),(14.877565616089832+0j),(18.846137913233566+0j),(25.180650778994206+0j),(13.325063923774271+0j),(-6.893534535321358+0j),(3.09514269532127+0j),(-22.435154957154634+0j),(22.492144999819416+0j),(25.24341017883821+0j),(4.3828574143335555+0j),(-0.3013853993866329+0j)
(394+0j),(52+0j),(54.33974009990153+0j),(-50.4860641112168+0j),(-42.50107820675281+0j),(-10.57648172296101+0j),(12.82482127192035+0j),(25.54992517323013+0j),(18.92566120279831+0j),(-14.946098280213768+0j),(-18.446547462541545+0j),(-30.462522468511434+0j),(-43.36517595598179+0j),(-54.04429107629817+0j),(-34.76581045327028+0j),(32.917232890388966+0j),(15.927095176358677+0j),(8.288185986333207+0j),(-6.236132758704503+0j),(-13.753624978219843+0j),(-4.261152018410046+0j),(17.174391212870926+0j)
(395+0j),(41.5+0j),(109.13073897787649+0j),(-99.96972440852731+0j),(-62.922743742794964+0j),(-0.6228426199570647+0j),(2.594170251892588+0j),(-15.320490268843475+0j),(-30.608518356104188+0j),(42.03842201532206+0j),(-21.308463217971926+0j),(-7.99710962307235+0j),(3.3697875643053625+0j),(4.143573635003652+0j),(13.42726964380039+0j),(-18.13889259215684+0j),(-22.31421742536908+0j),(-1.7118077775928815+0j),(-6.840316146322441+0j),(-23.74148853076578+0j),(-23.75262401195487+0j),(21.493928639322956+0j)
(396+0j),(57.5+0j),(73.90727179163845+0j),(-83.29051903469649+0j),(-44.700935504820634+0j),(-7.262993512434633+0j),(16.91933857994607+0j),(9.744352646294036+0j),(-1.8553503064581314+0j),(3.6949925339302006+0j),(0.5218357529957203+0j),(18.27643138449605+0j),(23.329996322062353+0j),(7.718463841128575+0j),(-11.973695788309973+0j),(38.38326938799591+0j),(50.35020898513925+0j),(43.070720084455054+0j),(-36.123287685063445+0j),(-22.222148443456668+0j),(-13.504418120433101+0j),(11.047360711105568+0j)
(397+0j),(39.67+0j),(77.776709134896+0j),(-78.71180235257738+0j),(-60.085280307934156+0j),(-34.65267736340282+0j),(0.3028615916777011+0j),(35.23985527117817+0j),(23.990172407477974+0j),(-35.56257075467737+0j),(21.473541832343376+0j),(8.543290941517094+0j),(-3.0304788755317897+0j),(6.6558787254434915+0j),(0.5011063459618179+0j),(-19.71375871358613+0j),(-17.45955537552897+0j),(-25.526534268931407+0j),(17.422135772671908+0j),(14.465434163618593+0j),(-0.08781671463149054+0j),(-6.657831635022572+0j)
(398+0j),(52.67+0j),(67.11982688391264+0j),(-72.20386839777198+0j),(-31.155579823281688+0j),(9.472346810203579+0j),(36.37596630951087+0j),(26.357211585648916+0j),(5.376434209038576+0j),(12.680293200483675+0j),(-28.811715375535712+0j),(-26.658434793032676+0j),(-27.093109338008425+0j),(-34.85956969816211+0j),(-34.29983548372668+0j),(37.21891985077575+0j),(29.909337004233173+0j),(13.39672127604943+0j),(-9.90290895361223+0j),(-5.937736619951004+0j),(-7.4749875400961905+0j),(10.224724884014275+0j)
(399+0j),(30.31+0j),(86.7191474030717+0j),(-66.47118628032159+0j),(-50.59626371789181+0j),(-5.359457209092032+0j),(14.155911672547703+0j),(11.071379045930085+0j),(-1.6937299649770234+0j),(9.465795992972064+0j),(-5.223227011039338+0j),(-1.552495311320611+0j),(21.963495094338434+0j),(25.26073783074178+0j),(40.65699614399396+0j),(-32.451526069275914+0j),(-36.208570439742296+0j),(-29.776255354491408+0j),(6.579150884176167+0j),(-3.3821355007960214+0j),(-0.7312063534615234+0j),(17.435595774162664+0j)
(400+0j),(23.2+0j),(21.572651673500356+0j),(-7.263969105781392+0j),(-21.25775015376746+0j),(-16.144667398402465+0j),(-16.3576967653574+0j),(-22.69598683448621+0j),(-7.306438753608024+0j),(25.8757242978036+0j),(-13.52041593984045+0j),(-18.554865009425594+0j),(-15.17052713308164+0j),(-17.884203254827316+0j),(-20.226892617373025+0j),(13.510639894291357+0j),(17.57272206629625+0j),(18.440938034493325+0j),(-18.578968484014794+0j),(-13.997962269726345+0j),(-18.21313018292826+0j),(12.854853786418897+0j)
(401+0j),(41.27+0j),(79.86532750361219+0j),(-86.24740733638416+0j),(-70.78171951041688+0j),(-42.10168659049188+0j),(-25.22543038983958+0j),(-1.011738123093112+0j),(-8.502188167551072+0j),(0.7289258972853201+0j),(-9.142279810246478+0j),(6.503361429398147+0j),(-2.311142289646087+0j),(5.63919463726521+0j),(-5.663158693754331+0j),(14.419985978526864+0j),(34.17111583011309+0j),(18.646055652715944+0j),(-22.53635729749827+0j),(1.5860364227984363+0j),(12.50286052798167+0j),(-20.22514876080686+0j)
(402+0j),(25.67+0j),(34.18771969948969+0j),(-28.574191041653336+0j),(-23.509140658623384+0j),(-7.850067597998365+0j),(3.177699156213665+0j),(21.675135952932056+0j),(14.009856889145059+0j),(-23.53072410263333+0j),(8.736272607577556+0j),(12.899131645371314+0j),(11.376453891560677+0j),(15.946977452919482+0j),(10.097907375164015+0j),(-28.56099179220508+0j),(-12.122788799330808+0j),(-6.14357262940133+0j),(-8.60980952459666+0j),(-18.57620422357742+0j),(-40.27830112305269+0j),(23.6250452358916+0j)
(403+0j),(44.44+0j),(55.41962445651496+0j),(-38.99915014459289+0j),(-61.65097207421279+0j),(-34.775172561026025+0j),(-27.618943863445317+0j),(-25.34525413734558+0j),(-6.393169738947966+0j),(15.754400736527959+0j),(-9.67970788628118+0j),(-15.331967994895212+0j),(-22.428700762932202+0j),(-24.30174203219931+0j),(-24.146373333005606+0j),(28.311428205505596+0j),(10.474353977931479+0j),(14.152712302688496+0j),(7.842516636253695+0j),(10.865936402106751+0j),(19.381339522890485+0j),(-16.616915978841433+0j)
(404+0j),(36.14+0j),(58.0421806692518+0j),(-50.056696567782545+0j),(-49.407610270496875+0j),(-25.010908782542984+0j),(-3.449098088274696+0j),(-2.7316572820067093+0j),(-2.6317655290001625+0j),(-3.760920305057152+0j),(-11.523692988772451+0j),(8.527914779151521+0j),(14.0218322588125+0j),(20.394179731491864+0j),(40.40509996791775+0j),(-27.2074038026015+0j),(-31.072172096769815+0j),(-18.427113617903967+0j),(12.47037729622592+0j),(2.23949455534832+0j),(10.084704802901983+0j),(3.9000674757995384+0j)
(405+0j),(25.4+0j),(58.271596403122295+0j),(-40.40689561501783+0j),(-36.41880817342402+0j),(-6.922677471579767+0j),(24.382824631181386+0j),(27.216289015189304+0j),(38.315950747845065+0j),(-18.1821062810417+0j),(28.846912121801374+0j),(8.405046129994222+0j),(12.123565356189946+0j),(16.20502887330153+0j),(9.841169530699144+0j),(-5.583177507091928+0j),(-0.4863084138744285+0j),(4.887739945068733+0j),(-20.806439736070796+0j),(-12.667720980322308+0j),(-15.567241924882264+0j),(15.141438435457044+0j)
(406+0j),(40.4+0j),(39.75693559335306+0j),(-26.679034737758197+0j),(-35.07840830424708+0j),(-21.87160569131206+0j),(-4.821133775263123+0j),(0.08317739067367214+0j),(0.7443611043613689+0j),(-11.607418688807709+0j),(-9.684837812008386+0j),(-5.45059738037169+0j),(-30.338257103435964+0j),(-26.104016671799183+0j),(-47.39627317261506+0j),(36.53321558816889+0j),(35.87203187448137+0j),(30.967720708544455+0j),(-13.91724879249581+0j),(-0.7104461795603036+0j),(-9.10981974605019+0j),(-14.450393896954175+0j)
(407+0j),(30.58+0j),(77.8121146202151+0j),(-59.05820139862169+0j),(-71.91679202602914+0j),(-35.40674056459994+0j),(-40.76802134119537+0j),(-8.76238982055682+0j),(-7.589164256023328+0j),(12.154574548903746+0j),(-13.471391861301196+0j),(-15.283984334763966+0j),(-6.3541620924823095+0j),(2.430094884611335+0j),(3.1491143404634894+0j),(-19.167481666431144+0j),(-19.267999404243334+0j),(-13.706853951584623+0j),(-6.892123123131059+0j),(-14.453909356774464+0j),(-27.45168495630584+0j),(26.54782815313654+0j)
(408+0j),(6.67+0j),(9.176629354822646+0j),(9.278110431910509+0j),(-2.1993452466575683+0j),(-1.0362269913716329+0j),(-1.5350523869128874+0j),(4.958799541079355+0j),(-4.136420529313979+0j),(-0.16867093784108622+0j),(1.5494697708124372+0j),(1.3956167330722664+0j),(-5.1520526410083844+0j),(4.222322419458047+0j),(1.9310033929606456+0j),(8.19889448551548+0j),(-9.49166657035984+0j),(5.961340070594206+0j),(2.188619336428347+0j),(-1.9070729355264824+0j),(4.35096857856207+0j),(4.129483209670119+0j)
(409+0j),(26.85+0j),(69.12214952878492+0j),(-53.63545214268121+0j),(-70.5798022891712+0j),(-42.0574915270148+0j),(-34.74831741400804+0j),(-22.753067978563283+0j),(-0.9556054166819385+0j),(-1.977723201544575+0j),(3.177662337753002+0j),(-0.8141667534916692+0j),(-1.3668959843137731+0j),(-5.37242849622215+0j),(-17.101573346090827+0j),(9.447292448473409+0j),(26.429939331176424+0j),(-2.0271983967049243+0j),(-17.00585631034889+0j),(1.8844507689625978+0j),(0.30102018254087426+0j),(-2.5207757356849916+0j)
(410+0j),(27.25+0j),(25.0063149918913+0j),(-12.260506659967291+0j),(-18.969265859091863+0j),(-20.343892061702334+0j),(-23.004921248510065+0j),(-2.650631331762194+0j),(-17.991559970934585+0j),(11.080637154819275+0j),(-0.5664421917060585+0j),(-0.6712129773115483+0j),(-3.3329606503779186+0j),(6.659686074794388+0j),(13.542328288448608+0j),(-4.434369316516895+0j),(-18.55073200271149+0j),(-14.537989386868187+0j),(22.02391299258754+0j),(14.074871456498032+0j),(27.430311540126294+0j),(-10.323708024175271+0j)
(411+0j),(29+0j),(66.93454801990785+0j),(-42.89121316923148+0j),(-67.29924425518261+0j),(-49.750627646082805+0j),(-26.68676901368875+0j),(-29.393745959896734+0j),(-10.87603740660236+0j),(2.834930209886523+0j),(-4.423394650045017+0j),(1.5381981294339044+0j),(-3.640413743068489+0j),(-3.3385437790647896+0j),(-10.326843732049177+0j),(6.376925055369313+0j),(12.415394523830402+0j),(4.593536931358923+0j),(-10.107151011714794+0j),(4.141627614771847+0j),(-9.583679737924841+0j),(-6.9468689919654585+0j)
(412+0j),(13+0j),(5.9648090806347325+0j),(3.7120736474115024+0j),(-6.160713488286932+0j),(6.178718986027928+0j),(-2.325846108334229+0j),(6.5154477641549935+0j),(-1.4362482049601728+0j),(-2.56022791581859+0j),(-2.853255485202048+0j),(-1.9726480772299635+0j),(-1.9726480772299484+0j),(-2.85325548520206+0j),(2.560227915818606+0j),(1.4362482049601837+0j),(-6.515447764155029+0j),(2.32584610833421+0j),(6.17871898602797+0j),(-6.160713488286892+0j),(3.712073647411528+0j),(5.964809080634614+0j)
Time,Average Speed,F(λ) No.1,F(λ) No.2,F(λ) No.3,F(λ) No.4,F(λ) No.5,F(λ) No.6,F(λ) No.7,F(λ) No.8,F(λ) No.9,F(λ) No.10,F(λ) No.11,F(λ) No.12,F(λ) No.13,F(λ) No.14,F(λ) No.15,F(λ) No.16,F(λ) No.17,F(λ) No.18,F(λ) No.19,F(λ) No.20
(235+0j),(75.53+0j),(268.8394952371078+0j),(52.397609786818805+0j),(-12.874752746115295+0j),(10.067051370576465+0j),(-11.929241021881861+0j),(-40.02491917622319+0j),(-35.087863122808656+0j),(-56.868829572663955+0j),(40.39421255967266+0j),(26.702750743253645+0j),(-13.385984552188509+0j),(-1.601098708434911+0j),(-30.59996276557573+0j),(63.97243522447006+0j),(41.25200770597846+0j),(-2.526875633123254+0j),(-19.045029107757145+0j),(-35.47266781376314+0j),(-37.01250635946272+0j),(1.3486616075721969+0j)
