Time,Average Speed,Lambda Index No.1,Lambda Index No.2,Lambda Index No.3,Lambda Index No.4,Lambda Index No.5,Lambda Index No.6,Lambda Index No.7,Lambda Index No.8,Lambda Index No.9,Lambda Index No.10,Lambda Index No.11,Lambda Index No.12,Lambda Index No.13,Lambda Index No.14,Lambda Index No.15,Lambda Index No.16,Lambda Index No.17,Lambda Index No.18,Lambda Index No.19,Lambda Index No.20,F(λ) No.1,F(λ) No.2,F(λ) No.3,F(λ) No.4,F(λ) No.5,F(λ) No.6,F(λ) No.7,F(λ) No.8,F(λ) No.9,F(λ) No.10,F(λ) No.11,F(λ) No.12,F(λ) No.13,F(λ) No.14,F(λ) No.15,F(λ) No.16,F(λ) No.17,F(λ) No.18,F(λ) No.19,F(λ) No.20
(244+0j),(75.92+0j),(221.3265615620199+0j),(33.65220599868677+0j),(42.44057300936405+0j),(-55.709395316612856+0j),(1.2971479928402623+0j),(-23.25977154396336+0j),(8.830924124429984+0j),(-32.428341905182265+0j),(-16.994998920174904+0j),(32.933921505119926+0j),(-14.853174554447776+0j),(35.54049322913582+0j),(-59.40517542921363+0j),(11.15362195598286+0j),(46.28689092216338+0j),(-36.00815812975894+0j),(47.987616492600864+0j),(76.31780859500329+0j),(27.8473308894268+0j),(-12.558243739808539+0j)
(245+0j),(74.89+0j),(288.3044271307858+0j),(-47.36784660732866+0j),(-18.910483176334665+0j),(-11.961573398090252+0j),(-31.12248067549746+0j),(10.701976269176734+0j),(24.71603205179887+0j),(2.1401039916704505+0j),(18.00135680520577+0j),(-68.38250092041177+0j),(3.7263832280651745+0j),(-27.607502974020584+0j),(23.952566345182408+0j),(-27.196813628766332+0j),(10.71170445801236+0j),(18.467663701616686+0j),(-22.427205204480078+0j),(-38.53623698230476+0j),(35.743244397418714+0j),(6.123074469995354+0j)
(246+0j),(74.2+0j),(165.0525124509927+0j),(15.053916639465474+0j),(1.5316830907524235+0j),(22.687815286080298+0j),(-12.115754021295455+0j),(49.711454643892665+0j),(2.012761524520201+0j),(-35.88410811427618+0j),(-54.92655491749498+0j),(56.350178106095115+0j),(22.332440218233856+0j),(38.642302518701825+0j),(-23.93375938933982+0j),(29.89176660355086+0j),(-68.3737149096096+0j),(-40.225338520197695+0j),(-11.093009382427411+0j),(-3.978568094903828+0j),(-43.28938055289999+0j),(80.42232279050873+0j)
(247+0j),(74.24+0j),(279.5826732119343+0j),(-29.99604220691317+0j),(3.8215988598407726+0j),(-8.907094647341825+0j),(38.77272871478471+0j),(-1.3932701401043097+0j),(-40.76163387078575+0j),(37.98221076512238+0j),(-23.32831802453292+0j),(3.1915782735344607+0j),(-57.88020956779745+0j),(-40.96246629468179+0j),(-31.91414122686235+0j),(-23.253456692444868+0j),(27.8582019273422+0j),(-2.1807211329146625+0j),(-13.982947925319234+0j),(62.447263606704446+0j),(-8.783233743668628+0j),(-24.424623620107994+0j)
(248+0j),(75+0j),(206.47416048350567+0j),(8.055693213348825+0j),(-8.079753834916811+0j),(9.46776073563034+0j),(-24.45642598676102+0j),(-43.0375495781605+0j),(-16.309767973116973+0j),(-9.22903697123114+0j),(34.95013816078027+0j),(-21.785840465917083+0j),(48.35736880374+0j),(13.577220101970614+0j),(90.7661710951805+0j),(-52.08019288067132+0j),(26.64220076695362+0j),(-6.993398100193264+0j),(4.723598522730338+0j),(-59.562010813109985+0j),(42.690150997005304+0j),(-35.33002301606644+0j)
(249+0j),(74.14+0j),(294.0080316501291+0j),(7.186229897289724+0j),(10.946678510512637+0j),(5.303653000821377+0j),(-11.341592293348445+0j),(3.769595195875352+0j),(1.677750750524698+0j),(-40.51258467077738+0j),(23.578808242900152+0j),(4.996196455512088+0j),(-23.163300026055033+0j),(-32.25481255333667+0j),(-50.0436309408751+0j),(24.51622291533842+0j),(11.257045372725775+0j),(-4.466023916910531+0j),(-19.67272702748445+0j),(-17.11862396807886+0j),(-65.90068336712608+0j),(32.324561032874215+0j)
(250+0j),(74.08+0j),(194.40899500187885+0j),(11.474988118712613+0j),(-67.52760956508637+0j),(18.459363477901352+0j),(-12.828042094469792+0j),(-35.390706960163136+0j),(10.664605639330794+0j),(30.316964172787515+0j),(-98.55626900067587+0j),(-43.231219964173405+0j),(-45.075710513400196+0j),(-15.203466275512001+0j),(43.53214470703132+0j),(-39.46513300309974+0j),(10.069010124790923+0j),(23.688623344322334+0j),(-4.9652574602003785+0j),(46.736379983911675+0j),(12.811242110365011+0j),(41.47813294482185+0j)
(251+0j),(75.55+0j),(272.2962159983731+0j),(-7.716526741850856+0j),(-3.1188837908866134+0j),(11.43916415126625+0j),(-23.51866544900896+0j),(25.416215308013125+0j),(0.5649702375608214+0j),(27.571463919177045+0j),(28.576815916222774+0j),(64.76852650765298+0j),(44.96459205129517+0j),(44.40798673506178+0j),(-40.33483250056088+0j),(-1.5999800858472817+0j),(-18.689907159832856+0j),(12.495105891788423+0j),(-6.8680720532512325+0j),(6.635049819094435+0j),(16.66630728521951+0j),(-71.32803312776099+0j)
(252+0j),(76.45+0j),(183.19545683787163+0j),(3.2403772885893325+0j),(-13.388382033892205+0j),(10.55281949147229+0j),(5.090610445349027+0j),(9.385018858458675+0j),(-18.715118793441754+0j),(-50.94754868521535+0j),(11.094320785683799+0j),(-28.14151650851012+0j),(-99.69066975207522+0j),(-79.81438387554705+0j),(-25.527656092542564+0j),(-34.5410302127411+0j),(73.16043126835605+0j),(-2.2570087038348117+0j),(17.241124445257334+0j),(-58.53937870734533+0j),(10.574778669946006+0j),(16.958482216322928+0j)
(253+0j),(75.95+0j),(290.2260487255956+0j),(-10.769407399965147+0j),(-28.818669039066776+0j),(-7.423367851134499+0j),(-10.452348965105317+0j),(-22.17676068566599+0j),(-20.116749722272786+0j),(13.371834629171099+0j),(-60.032812895919136+0j),(-46.594457232527525+0j),(33.615946071584645+0j),(53.68929554484794+0j),(2.553262400403133+0j),(-5.528392470374881+0j),(-11.208094736983103+0j),(-0.5566160198764916+0j),(-6.9373997115245025+0j),(29.45420205530789+0j),(-42.71593650978447+0j),(58.264843034461414+0j)
(254+0j),(75.33+0j),(155.54386756424148+0j),(17.108403730317907+0j),(-19.417285552411496+0j),(-24.13950132180417+0j),(-24.98719977571423+0j),(7.932625216514079+0j),(-5.36716299590883+0j),(-3.1004619917968466+0j),(38.94427622355299+0j),(31.282450249845066+0j),(-4.078426966884365+0j),(-77.71187848421378+0j),(-2.88275200734949+0j),(-9.704894542029306+0j),(-37.96397562906148+0j),(44.920869957552185+0j),(57.3565130247525+0j),(8.537088631357953+0j),(32.45418594755958+0j),(-97.73110262885925+0j)
(255+0j),(77.22+0j),(294.35553193526624+0j),(25.751223575237965+0j),(-8.690781765841823+0j),(-22.063276758089323+0j),(-8.637370375949182+0j),(42.68678356111539+0j),(60.877940174044404+0j),(-36.32169327939691+0j),(-40.90285103669102+0j),(-33.156227184057364+0j),(-16.276850788696873+0j),(15.562043110240873+0j),(7.057773065295212+0j),(8.784289588861924+0j),(43.70048171459875+0j),(39.891697018350925+0j),(-33.986847318892984+0j),(-15.674767494056184+0j),(-34.51715829301695+0j),(19.556002970300085+0j)
(256+0j),(72.38+0j),(132.8317099110554+0j),(10.752510476488645+0j),(-15.110967615409146+0j),(5.664008240792448+0j),(36.89640457134884+0j),(-14.073384939145717+0j),(-38.948403056452875+0j),(47.16379656254219+0j),(-55.90836618493491+0j),(12.7251439970601+0j),(71.8002913444116+0j),(7.523675772730687+0j),(-5.28856581274338+0j),(-37.12075432377065+0j),(19.94623034082759+0j),(4.096690926218653+0j),(40.95743319997257+0j),(13.447671469714113+0j),(79.47460672934683+0j),(30.971124072525935+0j)
(257+0j),(74.16+0j),(245.78659066744666+0j),(25.06849804373378+0j),(10.382632689884911+0j),(-12.516143600611462+0j),(-25.808245469715118+0j),(11.870072935634251+0j),(-55.018023790077535+0j),(-24.721397092467797+0j),(41.681447663725535+0j),(60.31412974399854+0j),(3.4765268124403654+0j),(-58.90037972564325+0j),(-26.200233497290448+0j),(32.529937758931354+0j),(22.847257500791287+0j),(54.330145781949156+0j),(-17.454570297565645+0j),(17.896382087238948+0j),(-59.15288291871647+0j),(14.038496635969114+0j)
(258+0j),(72+0j),(132.14346270944327+0j),(-21.39178823134963+0j),(-10.38105857871557+0j),(34.82185676742976+0j),(-6.57628151281857+0j),(-7.832578014724078+0j),(3.744083176625935+0j),(-14.508660028944671+0j),(-40.18210751490589+0j),(-91.16313687394415+0j),(-6.530662268577117+0j),(48.87844147993738+0j),(29.046288562264987+0j),(-46.05604867839558+0j),(-7.182893157901104+0j),(2.562365061679621+0j),(69.08187157003985+0j),(-18.395153192659038+0j),(48.05451197950561+0j),(4.1294832096701715+0j)
(259+0j),(73.58+0j),(258.0684844666284+0j),(-5.36784015713069+0j),(-8.098846192009319+0j),(-48.3192308836237+0j),(-56.137290401697854+0j),(3.4118273722528762+0j),(-49.46285854999425+0j),(-25.902582333838872+0j),(4.101865663398684+0j),(49.5191584292543+0j),(35.93212931582153+0j),(-25.463258378708503+0j),(-56.336904585174786+0j),(40.55021815023002+0j),(-18.994215098675063+0j),(-6.035407217234825+0j),(-19.5891703682148+0j),(-3.8367476350885603+0j),(-22.55638325654623+0j),(-36.19202036024646+0j)
(260+0j),(76.91+0j),(189.44930327545023+0j),(45.641308051789615+0j),(-66.45468458554717+0j),(-29.902871437210226+0j),(-4.000973963282647+0j),(16.79054110608299+0j),(-37.593415647750795+0j),(-64.0390076820296+0j),(26.83916407654052+0j),(-60.061221091979405+0j),(7.418026333931863+0j),(24.206410788401207+0j),(44.46443505337329+0j),(-53.5899640620401+0j),(-11.685809573439096+0j),(-45.04509710775433+0j),(10.527586955550104+0j),(31.947582225065986+0j),(-9.30707431126882+0j),(57.86085783701641+0j)
(261+0j),(72.95+0j),(275.0730815687009+0j),(-2.837697109201393+0j),(-0.7118759355158559+0j),(-12.856778772208433+0j),(16.324444227730343+0j),(59.97162777380523+0j),(-5.125079049156572+0j),(-16.861869232986272+0j),(-45.97190925076484+0j),(12.787165860849889+0j),(-6.219135664075738+0j),(1.950078834480033+0j),(12.416761149661657+0j),(61.363101519601855+0j),(36.16762656725+0j),(20.856021457957247+0j),(-17.00080026367755+0j),(-1.208760649781393+0j),(-65.21230441578419+0j),(17.06026269337504+0j)
(262+0j),(74.17+0j),(194.57121642300862+0j),(-9.970856364866052+0j),(-25.758818716404008+0j),(7.690236370141738+0j),(5.795829322114521+0j),(-22.05072791251559+0j),(-67.31770004940219+0j),(0.7383390990110801+0j),(-38.808837582404585+0j),(-53.36448474601912+0j),(-67.7011563442019+0j),(-18.259917563554257+0j),(20.037310803295583+0j),(-91.9088703998146+0j),(48.20933703242842+0j),(-6.839169402131418+0j),(17.958198785498276+0j),(-40.561207612067946+0j),(29.92586290720037+0j),(-2.059966252058718+0j)
(263+0j),(75.2+0j),(286.96729424465167+0j),(13.203585582883338+0j),(-11.225090077884953+0j),(33.20698197636503+0j),(-7.640162977047222+0j),(-28.079452492533584+0j),(-7.869120381266489+0j),(-43.71413480392563+0j),(4.1066556267346215+0j),(27.519764608148527+0j),(58.625871246394446+0j),(30.68605346987495+0j),(-8.528462745279244+0j),(-0.963340955831594+0j),(2.2469665821406384+0j),(10.246895671682022+0j),(-27.799604596120293+0j),(50.36263791671094+0j),(33.31689195590323+0j),(-15.339065341906444+0j)
(264+0j),(74.2+0j),(166.19481576756954+0j),(29.439159936100104+0j),(-22.73447599972675+0j),(65.99827050214672+0j),(20.015641651302353+0j),(19.352152120133038+0j),(36.27348821450685+0j),(-42.72075764500391+0j),(-40.14932485699213+0j),(30.87799970436057+0j),(-20.197962617553387+0j),(-54.49685182621006+0j),(-2.879450027985305+0j),(40.23731320112333+0j),(-6.150415945895604+0j),(10.48696242380392+0j),(42.178169611908274+0j),(78.35265353583004+0j),(-31.90598900027858+0j),(43.49116499012453+0j)
(265+0j),(77.18+0j),(309.8886075257243+0j),(34.27740525652182+0j),(26.418202016919174+0j),(14.236528017147496+0j),(-7.202360216335165+0j),(-28.818682867080852+0j),(-46.23192201582968+0j),(46.705620227397674+0j),(-45.26373841266551+0j),(-38.32224306827488+0j),(-26.024326303978825+0j),(-8.265642007894478+0j),(-2.583170934671749+0j),(-18.822822407963077+0j),(-2.3275130693216965+0j),(-20.749843954049506+0j),(-1.0117925543169584+0j),(9.691216670465268+0j),(-10.400939091866267+0j),(-0.5097217062672126+0j)
