Time,Average Speed,F(λ_1),F(λ_2),F(λ_3),F(λ_4),F(λ_5),F(λ_6),F(λ_7),F(λ_8),F(λ_9),F(λ_10),F(λ_11),F(λ_12),F(λ_13),F(λ_14),F(λ_15),F(λ_16),F(λ_17),F(λ_18),F(λ_19),F(λ_20),Time,Average Speed,,
25,68.8,258.3209576,-24.75698235,-43.87815576,17.40190298,-42.09228139,32.28294606,34.33524174,42.50538699,-9.661402932,-8.105611623,-26.01056026,41.62259519,-10.60895599,37.93520077,9.071793298,-2.562201566,4.496948246,19.12341916,-19.97146553,11.89025664,25,68.8,26.7210426,63.01807367
26,70.38,129.1610582,-3.841476641,-29.2794075,15.65540145,22.77131505,51.66285871,-35.16198344,-29.55579826,70.79298643,-18.94509526,47.15046782,1.411185258,11.63938792,4.741817444,-21.47838071,68.45645284,-40.15129063,-24.84917903,22.09080373,-31.88878701,26,70.38,34.56741392,81.22127817
27,69.59,229.5374351,-60.77510989,-18.24423281,-14.71070718,-12.74598316,47.45700441,-55.22852898,-47.33685017,-39.61310291,-18.29947996,-5.063192969,31.79712113,7.74555684,35.52096828,45.88246923,-30.72248164,19.34712326,-13.93806527,-4.02786657,16.81454289,27,69.59,31.96843418,-116.1408155
28,73.91,182.0129727,-16.46939826,46.35114872,-26.15906715,20.47718311,48.42768043,-60.17280349,30.57118122,7.268153568,61.37345395,-19.76487698,13.12135654,-43.17858096,-15.17026727,-5.463277047,28.28067624,9.485490934,52.73438302,16.75050069,-80.15238684,28,73.91,37.73918903,68.31055043
29,71.53,258.8950763,-55.43685111,-4.277137812,-7.355044278,40.28022151,-53.56762019,22.22692421,24.5774682,15.6937932,-7.237156921,-29.78065098,8.801852413,31.99907851,48.30756322,10.4108566,-38.83224688,-28.50022495,-7.202028616,-6.726146029,-4.933017626,29,71.53,28.8512287,-41.55036753
30,70.91,174.1062819,-59.18846615,18.27361229,-5.27822217,-31.01555582,22.66726346,-40.36556308,-4.745964557,-10.97085587,-28.81005124,4.77579264,-46.33798663,-91.56827827,25.59169439,-66.59216166,2.716222487,22.81764078,-7.503094812,27.65241628,12.59760526,30,70.91,33.76778911,-255.2839527
31,72,288.8054175,-8.495794268,2.615419081,-36.91202558,-9.6684962,-13.30685125,30.08102059,-2.349510234,3.381802177,-30.89100914,-28.58492034,2.662641306,0.051266595,-38.3800954,21.05702891,-5.767959493,-53.21450487,11.2158072,-17.97286664,-32.09036995,31,72,21.05955557,-206.5694175
32,69.5,186.3603429,-32.2329662,2.01143928,-9.318534532,-48.4927243,17.11660791,11.41325956,20.21675925,-24.00902079,-28.6831178,-8.173892069,-38.92876226,-56.94612609,1.728117124,29.60933292,3.413671482,102.9957071,-22.73228718,21.30809157,29.89881241,32,69.5,35.43345577,-29.80563262
33,70.09,279.9973678,10.09445739,-48.51143698,-24.95614029,2.778298091,13.38066492,-15.86937994,-12.16096435,6.151753383,-5.235182126,-51.40466524,-9.968309508,17.66961168,-44.25529227,13.77420499,30.19237424,-30.84738674,12.80420518,0.519128528,-5.387893062,33,70.09,22.87110348,-141.2319521
34,70.55,168.3506284,-28.69231114,-46.41404035,13.27662858,1.409901447,-47.35310311,10.31578864,-30.21785675,-54.82608214,-22.39514791,-31.00478482,-28.87007792,-15.09911168,66.6843236,20.19568346,-58.73461829,9.459658874,60.73627307,-48.44449946,-13.06039276,34,70.55,35.12336152,-243.0337687
35,70.76,287.9636802,-6.596530333,-8.604618647,-43.33319591,-3.780518462,-8.604050404,22.60930193,-0.97826837,6.03815169,-37.43197775,-15.47729342,-14.64513133,26.77701416,-6.366118126,-15.82456948,29.90118265,-14.73014649,-25.59557865,20.22369828,-5.68845914,35,70.76,19.40454278,-102.1071078
36,68.62,194.9628536,-12.59796895,-21.64833536,-13.20108944,-19.87787892,10.05925005,-22.67369074,-31.05097651,-56.57583014,12.89160544,-74.43423906,-4.059144521,-9.342146269,86.60933755,7.75579473,-52.87147543,34.56587567,13.57582088,1.760871464,11.79522954,36,68.62,34.52224173,-139.31899
37,69.14,292.2907903,-16.18962693,-48.61686684,18.49827932,4.066717122,-24.65178041,-12.20922298,-13.20331254,-14.27456111,-16.53401845,-0.606705443,12.28367434,-31.48103314,1.135018225,-13.49768897,11.64080411,-20.54796948,14.60296546,-10.06466794,14.46949531,37,69.14,17.30646095,-145.1805003
38,70,198.6891709,-1.76205478,-21.9381847,58.53310467,-0.119937269,40.19627985,-9.445405044,-5.587305946,-40.77845369,-44.09889039,-29.00536685,-8.89477514,-8.575552341,58.47306063,54.95862799,26.22441091,39.936863,-9.047346787,-61.53829578,-43.99215531,38,70,36.10832826,-6.461376977
39,68.18,277.4777508,16.9890395,8.998200102,26.61060289,-0.421853475,2.062181441,-22.52618069,-0.142458249,-14.47973108,11.22905692,13.26034236,35.67715791,30.58366848,-37.50917022,-31.96268094,-29.36484129,9.383033208,-3.697096594,-13.11522367,4.703601892,39,68.18,20.38320216,6.277648495
40,67.08,174.0629644,21.31408715,26.63356674,-1.994483771,-64.3449847,31.98315377,-15.93092248,-0.988764939,-3.767582963,-7.703231069,-21.77199947,11.55812331,-97.12425213,34.16911171,69.55677984,16.42400041,20.33684978,-0.495786031,4.254190965,31.81006397,40,67.08,35.73740261,53.91792009
41,68.27,270.8044344,-30.70019184,9.590553519,-12.48264014,-4.817602503,-34.96588527,-20.91193277,38.3949076,-20.42075345,-7.584604933,-2.708694253,20.08403668,8.183178255,-34.79634559,5.737279967,-26.90302349,-28.50652732,2.023320451,-52.66511457,4.620922826,41,68.27,21.76707294,-188.8291168
42,70.33,183.4133439,-9.557818718,-11.91570791,3.005027195,-58.00160833,0.060967857,8.308447735,-41.88177719,-4.933404078,23.95044125,8.693524812,24.02600445,-63.0682494,50.63868547,55.92546318,7.66873048,-34.3148523,6.144833807,9.573812133,93.44417335,42,70.33,37.13832181,67.76669379
43,69.74,282.0342766,-69.76505705,-4.37166463,-1.589991037,-12.75881565,-2.720747912,2.776085655,26.98620245,12.74180714,-11.78192458,-19.13837159,25.58723352,-34.25746546,-14.36172002,11.837248,3.664528212,-13.96404491,14.94285109,-44.49990433,-28.57716427,43,69.74,23.54266566,-159.2509154
44,67.91,171.3735532,6.681295939,-6.317544482,9.802319818,-9.992451092,29.43845764,51.00826366,-25.41793327,44.99118607,-19.25810633,25.32777534,37.04861746,63.68786236,48.67667511,59.64276952,7.781755216,-30.89740207,-27.31878058,43.01448132,7.570719218,44,67.91,30.10345522,315.4699608
45,70.13,294.2883376,-19.57805313,5.816267674,11.07759921,-7.425859806,1.168887692,-14.13853971,19.9270846,-47.38174941,-29.3322051,-34.65566011,-21.87886751,-25.04799845,16.65240959,17.81771977,-9.258350665,2.679958794,28.31699733,16.9677097,-10.49268281,45,70.13,20.4938692,-98.76533234
46,69.2,152.9769769,-10.17333692,-16.17519374,2.008919357,-10.25691889,-13.34731094,-56.04875632,-5.735814253,15.88783312,-19.14207052,22.65876567,-33.65571113,78.29989142,-11.11186645,48.6986044,62.2105332,-37.5440587,-70.54868621,-27.38455496,-3.943385025,46,69.2,36.53193587,-85.30311689
47,69,271.6866918,-15.62054597,-14.0200806,19.68188237,-25.60268132,4.047887261,25.98275871,-22.00991785,40.61875527,53.36706934,-20.91134126,-8.633262752,3.214757168,7.528262196,-27.26577053,-60.84920608,9.696133211,23.92280553,6.382664248,17.83596431,47,69,26.34934206,17.36613325
48,71.2,154.0711874,-4.811826817,10.25228159,4.130795841,-16.48692786,-1.391794168,16.19496353,-24.39148022,-31.08653668,-49.72057062,-28.51619766,16.2125124,-8.156236353,48.04871596,85.18152779,48.86311815,-4.341259863,0.295622481,-44.49780464,-90.81602246,48,71.2,38.2235278,-75.0371196
49,70.24,270.9272943,-21.62526235,-20.12272038,12.75871416,-22.21643226,1.458251884,-16.04018568,67.64258821,-45.74927127,25.93444037,-4.5883564,9.621249952,9.051807902,-3.613609801,-34.19746116,-41.80140916,-48.71822363,-37.84995131,-14.6186248,13.40591503,49,70.24,28.01368433,-171.2685407
50,69.73,171.7958205,7.961729419,19.64683843,-30.19913529,-22.8638141,22.90530438,-18.64712767,14.03004616,24.84398228,30.45686988,-3.620649826,2.12703648,-32.07256184,23.10861569,9.001837396,5.799371817,51.75848637,120.3425162,-23.69119385,-34.60521163,50,69.73,35.28674423,166.2829403
51,70.45,280.1548139,-1.008689025,7.453587795,0.410639047,-2.337269532,20.23147029,25.0529594,-30.14895986,4.689029486,-21.73200447,-38.9962617,-11.86479259,3.580540612,-13.5455091,29.42714174,41.0608055,-47.42229251,-48.35576103,-20.8989113,-4.270625204,51,70.45,24.4224756,-108.6749025
52,69.47,229.240825,40.98176926,-9.620073246,-42.42405669,-30.13950534,5.984516985,-21.72672398,50.05854753,-63.77106529,-22.86183773,-3.212633632,-15.85994416,-45.90720684,21.04023862,-28.79411429,-63.44429378,16.9182206,9.15127398,-27.43700754,27.75255043,52,69.47,32.00911987,-203.3113451
53,71.7,285.3641814,-24.53533675,-15.33335384,-13.07245608,-19.72634726,-13.65374448,-48.51229818,20.24996109,23.72168049,43.33320727,0.933854772,-11.36717563,4.250397266,-7.272211719,48.02197967,52.84101449,-4.250844435,24.98626783,10.13726103,-1.814246444,53,71.7,25.73668072,68.93760909
54,72.67,195.9516669,21.79565078,-32.32200106,-6.583389209,5.687302387,21.67144109,-13.28279005,-60.65913723,20.93442403,-58.8580598,-6.552008683,-28.2520784,-47.17946959,-13.08017974,-46.34965172,-77.59662372,-23.06142933,4.562055093,55.03865521,-38.57247342,54,72.67,33.10390835,-322.6597634
55,72.29,275.0289447,-53.25056227,-31.56757024,-12.22524395,-20.95013733,25.8690429,8.66199101,-9.056527601,-70.35110096,11.61696542,10.89933492,-15.99693251,21.53376375,16.70665614,30.99425828,18.87738396,40.0596839,10.74049487,-46.6575989,-10.55987713,55,72.29,29.45177744,-74.65597574
56,74.5,200.0580926,-1.232165428,-4.058180115,18.8998663,-11.14842298,-14.09205861,-0.094770731,20.1733634,13.85438737,-12.18422557,39.59332818,-30.77871936,-30.90847197,25.32026391,-52.58062604,-44.65706663,-63.03807064,-53.47428124,-18.77670161,98.65633825,56,74.5,37.32517378,-120.5262135
57,72.14,312.3998326,-13.81954338,18.16448322,18.4923617,25.04902592,10.82048587,11.15987602,-24.7602414,0.073988397,15.17164473,14.26391929,4.768554411,4.861895651,-19.59388621,-9.663049022,-13.08880376,6.90803213,24.40112019,2.168251563,-15.9947044,57,72.14,14.85322076,59.38341092
58,72.33,190.2632077,25.50610557,-5.149450028,42.14240346,-41.29163244,-1.650799515,46.28763747,52.24760277,-30.59560141,22.73111526,-34.91745334,-23.36212588,-36.03241247,19.886238,23.23361029,55.00378794,-50.25651659,-48.60157557,22.03811319,-69.78849798,58,72.33,38.18106574,-32.56945127
59,73.85,284.830583,-3.631007056,40.69460605,30.95573681,-23.59966807,10.54608493,-28.126539,12.03596703,12.31202738,-8.589337387,35.51584469,25.16803548,24.41614845,-59.13973006,-5.967372703,-49.7377956,-3.773662334,0.36309872,0.694190121,20.29234307,59,73.85,26.49012353,30.42897052
60,69.7,156.2742736,54.83943974,8.983611491,17.9517826,-6.92148663,38.47213247,-15.66421323,-26.04699302,24.71696162,6.984938533,17.33120745,-7.681494917,-50.11776281,44.09540609,-5.388003895,59.28235509,34.76706322,89.77773729,-25.67105788,7.528560364,60,69.7,33.32972856,267.2401836
61,73.24,277.5525178,45.39026569,13.27903333,-10.57379659,-23.60465433,-15.37799093,-25.890168,23.82046474,-43.50519145,-58.54692151,-56.93279414,-4.320851402,23.12202707,-34.64754576,-10.97749433,-1.052004145,-20.35299373,-7.502174736,5.325790437,-18.24192753,61,73.24,26.24537542,-220.5889273
62,73.25,134.43762,24.17076964,26.0046806,0.822667936,-32.91115197,-0.119346141,35.73785342,15.13316177,-19.34711075,70.37831854,72.03082784,3.409026243,-2.423865619,10.95591146,18.36070157,-35.73634388,15.96413015,-58.02006632,18.36709069,71.1188775,62,73.25,34.22463673,233.8961327
63,71.89,255.880883,37.34892303,-28.2026177,-41.86571006,-18.37542716,-1.007212277,-9.21569339,-4.618027589,2.047664644,-11.93052063,-81.22095849,-75.48777621,-20.88831406,-31.82383628,0.89057876,4.176137705,2.373511239,27.99495796,10.5695499,-6.150087945,63,71.89,29.07959143,-245.3848586
64,74.5,136.7317774,59.3769558,-34.01380996,-39.62557588,59.69666613,19.59308862,-30.68681787,-21.24966239,4.398654557,-7.458921076,55.05965069,34.56619038,62.08663144,22.99969946,-31.07701735,54.26671981,-37.11878229,-10.11053812,-13.81524305,0.458831468,64,74.5,36.06845385,147.3467204
65,75.63,268.4037212,15.92071668,-4.673873242,77.7311414,41.88102235,-33.81784253,2.393583319,-23.07583807,-54.74679754,-32.67155582,-8.686981119,-44.16823887,-51.30727218,7.003073839,30.8761748,28.95898226,-9.941604724,-3.35022679,-14.63088305,-0.778498957,65,75.63,32.71061404,-77.08491824
66,72.8,157.1370903,17.37066218,-38.96536659,14.96599563,-80.69818208,-5.507119303,-16.55470975,55.86322917,-65.49153056,0.133501668,-32.34544859,-4.42756925,54.09010237,-5.273945632,21.01308171,64.52176371,6.773247135,50.79523866,-15.06140046,-31.34645715,66,72.8,38.88208765,-10.14490713
67,73.84,265.6153269,22.19335137,6.9238245,11.0626796,-60.25666264,-12.62284219,8.390049847,-14.3318254,66.35889683,51.55699263,7.53674216,27.87665804,-31.76931268,4.039795233,-4.712291587,1.444730477,41.40218731,20.08865364,-5.861631614,-30.23478397,67,73.84,29.12243144,109.0852116
68,75.64,180.7275494,-7.696272121,28.15646891,-1.534135763,-31.73485623,37.59773209,-2.583218238,-13.3969228,22.0455673,-22.53536364,-82.72788072,-94.47407369,-1.446703057,3.570303311,27.17810607,-11.94213914,-74.88167286,51.22499169,-30.95279358,17.93856411,68,75.64,38.91116423,-188.1942984
69,73.37,241.9421888,20.42862591,-7.387198617,-17.46371716,15.44959415,1.922933067,-65.257005,19.82229404,-81.30834098,-34.83620249,-48.08314496,49.43320016,-0.114360234,14.52357574,23.78591347,-37.78144602,38.74782038,-22.69973139,5.002842955,15.72312981,69,73.37,34.10979065,-110.0912172
